seed,model,epoch,train_loss,train_cls_loss,train_rel_loss,train_acc,train_f1_macro,val_loss,val_cls_loss,val_rel_loss,val_acc,val_f1_macro,val_auc_macro_ovr,time_sec
42,ViT Image-Only,1,0.4404805314101993,0.4404805314101993,0.0,0.632,0.5982346158819167,1.6240521408617496,1.6240521408617496,0.0,0.4392905866302865,0.43497422431100624,0.9060903625750775,131.89303278923035
42,ViT Image-Only,2,0.1516797937299699,0.1516797937299699,0.0,0.8212857142857143,0.8131926977838442,1.6144029260815487,1.6144029260815487,0.0,0.5136425648021828,0.5043042305673487,0.9227789926797728,121.7469470500946
42,ViT Image-Only,3,0.08109301915732489,0.08109301915732489,0.0,0.8751428571428571,0.8714247414840744,1.1240452432843007,1.1240452432843007,0.0,0.6152796725784447,0.5760687998779014,0.9456079063276643,116.61700129508972
42,ViT Image-Only,4,0.08147581935433361,0.08147581935433361,0.0,0.883,0.8772658729058875,1.2156453417695088,1.2156453417695088,0.0,0.6248294679399727,0.5541367631751954,0.9187465704643799,109.94674921035767
42,ViT Image-Only,5,0.08014193125421046,0.08014193125421046,0.0,0.8881428571428571,0.8836200478934456,1.2483250896709606,1.2483250896709606,0.0,0.630968622100955,0.5737240755844076,0.9276658798216956,108.24271774291992
42,Prior Fusion,1,0.6142976661659267,0.6142976661659267,0.0,0.5238571428571429,0.46271041251368583,2.624869968580163,2.624869968580163,0.0,0.1800818553888131,0.3077965159995912,0.813010572677973,112.25289988517761
42,Prior Fusion,2,0.21716693291210964,0.21716693291210964,0.0,0.7274285714285714,0.6918529897758764,1.7504163309526832,1.7504163309526832,0.0,0.3894952251023192,0.4797490713591869,0.8686360360507261,112.17334055900574
42,Prior Fusion,3,0.138358299748028,0.138358299748028,0.0,0.8182857142857143,0.8102509557707804,1.4144090150037538,1.4144090150037538,0.0,0.5832196452933152,0.5283895693092081,0.880954288173428,110.45764899253845
42,Prior Fusion,4,0.08255983608536695,0.08255983608536695,0.0,0.8767142857142857,0.871600434317528,1.3170960637862268,1.3170960637862268,0.0,0.6002728512960437,0.5297566159973577,0.9115843560871275,112.0585720539093
42,Prior Fusion,5,0.08525032239921441,0.08525032239921441,0.0,0.8814285714285715,0.8741229582620236,1.2079322557572438,1.2079322557572438,0.0,0.6302864938608458,0.5705190060648475,0.924574617613071,109.6239378452301
42,Prior Fusion,6,0.06187270974849891,0.06187270974849891,0.0,0.9004285714285715,0.8942185520185201,1.222141150466126,1.222141150466126,0.0,0.645293315143247,0.5999379836022107,0.9237021825762222,108.3353340625763
42,RG-MF,1,0.6073691627886741,0.5888064383916115,0.0928136323872086,0.5311428571428571,0.4644328857612896,2.4310520853361357,2.395282748438742,0.17884672829962295,0.17598908594815826,0.2873613529458413,0.8103623604903106,108.34793591499329
42,RG-MF,2,0.28220860687292876,0.2648077383977637,0.08700434342196815,0.7102857142857143,0.6651297639410735,1.9944178332453188,1.9627527163728424,0.1583254062773093,0.2858117326057299,0.3722865366717195,0.8514168846716599,109.60672807693481
42,RG-MF,3,0.13205830191504464,0.11663550339622177,0.07711399253883046,0.8282857142857143,0.8155757248006191,1.7103262913777777,1.6824400288397041,0.13943127283583517,0.4945429740791269,0.46914894549209973,0.8616950853992575,108.08325266838074
42,RG-MF,4,0.12577082498475364,0.11147794685832578,0.07146439027704604,0.855,0.8501524146998979,1.262429473678703,1.2376739528516065,0.12377754679840544,0.6043656207366985,0.5103557467264394,0.880196317570409,108.07739162445068
42,RG-MF,5,0.11637574453842423,0.10378124118042625,0.06297251719930401,0.8627142857142858,0.8572782603752315,1.1244688103299425,1.1025276567139055,0.10970581306711487,0.635743519781719,0.5534255797703619,0.9171794116536454,108.70362257957458
42,RG-MF,6,0.0712897315191862,0.059323127741381085,0.05983301853871645,0.8985714285714286,0.8950706836776516,0.9848921636686377,0.965533069577878,0.09679538760658192,0.6657571623465212,0.5789072238139669,0.9165837382764849,108.06890845298767
123,ViT Image-Only,1,0.4002563084825469,0.4002563084825469,0.0,0.6385781050842657,0.6061341648048275,1.4045119693745738,1.4045119693745738,0.0,0.509549795361528,0.4340410882946041,0.9181738247700885,109.18656539916992
123,ViT Image-Only,2,0.14355078172907906,0.14355078172907906,0.0,0.8235377425293867,0.8164174655642261,1.5641277770552298,1.5641277770552298,0.0,0.524556616643929,0.47350285299744427,0.9171179303287199,106.2492151260376
123,ViT Image-Only,3,0.07259909886254706,0.07259909886254706,0.0,0.88103668035689,0.874703051417529,1.2395692321512362,1.2395692321512362,0.0,0.6145975443383356,0.6285682184664961,0.9377720803469739,105.96061682701111
123,ViT Image-Only,4,0.06871947081526741,0.06871947081526741,0.0,0.8937827503186517,0.8893149586401258,1.616927404159113,1.616927404159113,0.0,0.5361527967257844,0.4811319649419677,0.9169567927994545,106.82808995246887
123,ViT Image-Only,5,0.056618650845774526,0.056618650845774526,0.0,0.9076618042770146,0.9040974784893988,1.1256826300497935,1.1256826300497935,0.0,0.6371077762619373,0.615603111588807,0.9378671566833068,106.84011459350586
123,Prior Fusion,1,0.5472098842381218,0.5472098842381218,0.0,0.5395836283812491,0.47921453907704803,2.007745308396609,2.007745308396609,0.0,0.1766712141882674,0.36803945622664674,0.8601800393280342,112.53992867469788
123,Prior Fusion,2,0.19154144110520502,0.19154144110520502,0.0,0.7615068687154793,0.744125562697301,1.762611728404527,1.762611728404527,0.0,0.3894952251023192,0.5048629258606712,0.9012745655808113,110.39711356163025
123,Prior Fusion,3,0.13765249250675826,0.13765249250675826,0.0,0.8323183685030449,0.8239703987251027,1.4911564691093466,1.4911564691093466,0.0,0.5661664392905866,0.4994295536995378,0.9162255326413563,109.61815071105957
123,Prior Fusion,4,0.0792361345043094,0.0792361345043094,0.0,0.8767879903696361,0.8726295247570758,1.1839136121713596,1.1839136121713596,0.0,0.6241473396998636,0.5803755004832346,0.9264591801429622,110.49305868148804
123,Prior Fusion,5,0.10439268402055715,0.10439268402055715,0.0,0.8664495114006515,0.8612441555085476,1.612902894616127,1.612902894616127,0.0,0.524556616643929,0.5244539319097673,0.924587219886923,108.6497323513031
123,Prior Fusion,6,0.059279991996767444,0.059279991996767444,0.0,0.902704999291885,0.9002470350741617,1.160168113976555,1.160168113976555,0.0,0.6323328785811733,0.600936987102278,0.9384234399626473,109.11383175849915
123,RG-MF,1,0.6274208542954058,0.6024012311585079,0.12509812130613834,0.516782325449653,0.444038762745906,2.532795976199534,2.4855043023176817,0.23645851307589075,0.16030013642564803,0.3480625731372,0.8183809195748973,110.7458963394165
123,RG-MF,2,0.22934695640873856,0.20641755261690234,0.11464701919938644,0.7469196997592409,0.7246452592930082,1.4478288013488054,1.4058990465355632,0.20964871184981387,0.5470668485675307,0.500005904759669,0.9143769306448396,108.82534265518188
123,RG-MF,3,0.1629176319774864,0.14264868978385675,0.10134471308996235,0.8293442855119671,0.824429363928804,1.464229738096828,1.4267552668512191,0.18737237625147984,0.5538881309686221,0.5660043611828326,0.9215508041394382,108.3806562423706
123,RG-MF,4,0.1537207850124434,0.13562049802152515,0.0905014308784747,0.8442147004673559,0.8388366549639095,1.5154110538246839,1.4815080430682586,0.16951511881273726,0.5600272851296043,0.5042049501921408,0.9161977505682144,108.2472972869873
123,RG-MF,5,0.08495606891220917,0.06828500116739118,0.08335533731393685,0.8837275173488175,0.879423141794139,1.1658809147775173,1.1353692596211382,0.1525582265432762,0.6466575716234653,0.6432961664491661,0.9445404626249642,109.42725729942322
123,RG-MF,6,0.08709935410310644,0.07209020087282633,0.0750457652174442,0.8942076193173771,0.8916851152088248,1.363500407451521,1.3359852025649794,0.1375760242504918,0.6186903137789904,0.5789102116632276,0.931576616361456,108.35966920852661
2025,ViT Image-Only,1,0.4313291584451993,0.4313291584451993,0.0,0.6255707762557078,0.5952188019700377,0.9801646979231583,0.9801646979231583,0.0,0.6256613756613757,0.5852381478457628,0.9323410502679994,105.42964148521423
2025,ViT Image-Only,2,0.13531077577260464,0.13531077577260464,0.0,0.8299086757990868,0.8239473143232722,0.9798068797509921,0.9798068797509921,0.0,0.625,0.6291198081413274,0.9456363771000282,104.25472092628479
2025,ViT Image-Only,3,0.09517041684344164,0.09517041684344164,0.0,0.8728595890410958,0.8686077469293432,1.1053386313349045,1.1053386313349045,0.0,0.621031746031746,0.5533635966231119,0.9289567517261939,104.52927613258362
2025,ViT Image-Only,4,0.056765073267679204,0.056765073267679204,0.0,0.8996860730593608,0.8979201775107748,1.0972372900889145,1.0972372900889145,0.0,0.6329365079365079,0.5889050671973834,0.945401241978604,105.91288208961487
2025,Prior Fusion,1,0.5547581206003552,0.5547581206003552,0.0,0.5448059360730594,0.4715733861036341,2.271664166685782,2.271664166685782,0.0,0.20105820105820105,0.3324772266156378,0.8241875457838079,107.58922386169434
2025,Prior Fusion,2,0.18660782394105713,0.18660782394105713,0.0,0.738013698630137,0.6994136874452801,1.3643617240221877,1.3643617240221877,0.0,0.5396825396825397,0.5076571686890929,0.8812884706043821,107.89396691322327
2025,Prior Fusion,3,0.13999869349650768,0.13999869349650768,0.0,0.8296232876712328,0.8222611721471543,1.27393517262719,1.27393517262719,0.0,0.5833333333333334,0.5267436780227922,0.897210226311148,109.97084641456604
2025,Prior Fusion,4,0.08240761953729235,0.08240761953729235,0.0,0.8732876712328768,0.8684417727414873,1.826693397485896,1.826693397485896,0.0,0.4728835978835979,0.49544575282087194,0.8860496340650924,111.67213726043701
2025,Prior Fusion,5,0.08275831433344785,0.08275831433344785,0.0,0.877568493150685,0.8699343026474337,1.3396731708394853,1.3396731708394853,0.0,0.5912698412698413,0.5053935114338396,0.8788723197816813,114.97260308265686
2025,RG-MF,1,0.657438793240889,0.6307944583974473,0.13322168067267767,0.5101312785388128,0.4391744622106278,2.145138591724007,2.094796806260159,0.25170924475318507,0.20767195767195767,0.3906997863049529,0.8766281737493316,127.29863214492798
2025,RG-MF,2,0.21364538460867863,0.1888549957449918,0.1239519430724181,0.7564212328767124,0.7218787348724786,1.7835029348338904,1.7362710677479443,0.23615950055812535,0.3353174603174603,0.4705717730209304,0.9090203949122363,128.2853307723999
2025,RG-MF,3,0.13533723763015854,0.11165408089280673,0.11841578232166974,0.8454623287671232,0.8378606126554383,1.3246752613469175,1.2805896555514713,0.22042802885959023,0.5952380952380952,0.5808924709504332,0.9197255396192265,127.40903615951538
2025,RG-MF,4,0.10538237574233857,0.08351656700884201,0.10932904094899898,0.8812785388127854,0.8749656224914025,1.5845340686801233,1.5441808319405506,0.2017661563659969,0.5701058201058201,0.5107041028199516,0.8463861694817899,128.4027316570282
2025,RG-MF,5,0.11832973080768025,0.09864149912904743,0.09844115704774312,0.872574200913242,0.8663971896155973,1.0354704274550866,0.999011899687742,0.18229257291869114,0.6408730158730159,0.6472643627233057,0.9337965978742789,128.3084363937378
2025,RG-MF,6,0.07726943448662213,0.05936521908016365,0.08952107522891808,0.9033961187214612,0.8979555870723327,1.4243361925608233,1.3915739595105774,0.16381124289412247,0.6031746031746031,0.5291161421634207,0.8953658362647231,130.21222138404846
