seed,gate_mode,stress_type,stress_rate,accuracy,f1_macro,mean_reliability,mean_r_target,corr_reliability_r_target
42,plausibility_only,missing,0.25,0.6894770819883796,0.6660237007794095,0.6800378561019897,0.7480095028877258,0.5390989039992655
42,plausibility_only,missing,0.5,0.6894770819883796,0.6660237007794095,0.6738109588623047,0.5085000991821289,0.5479778228426206
42,plausibility_only,missing,0.75,0.6901226597805036,0.6665898366092735,0.6674399375915527,0.2539272606372833,0.5122795479278587
42,plausibility_only,corruption,0.0,0.6888315041962556,0.6654557589369139,0.6864739656448364,0.9866580963134766,0.914332819506241
42,plausibility_only,corruption,0.25,0.6888315041962556,0.6654557589369139,0.6780523061752319,0.8924037218093872,0.6636956407977417
42,plausibility_only,corruption,0.5,0.6894770819883796,0.6660237007794095,0.6695230603218079,0.7961049675941467,0.6756122768123302
42,plausibility_only,corruption,0.75,0.6894770819883796,0.6655659110958919,0.6607639193534851,0.7008822560310364,0.6702345416756689
42,no_gate,missing,0.0,0.6875403486120077,0.6617863160772437,1.0,0.9866580963134766,
42,no_gate,missing,0.25,0.6875403486120077,0.6647347040554845,1.0,0.7480095028877258,
42,no_gate,missing,0.5,0.6881859264041317,0.6653019596692479,1.0,0.5085000991821289,
42,no_gate,missing,0.75,0.6875403486120077,0.6621391304827334,1.0,0.2539272606372833,
42,no_gate,corruption,0.0,0.6875403486120077,0.6617863160772437,1.0,0.9866580963134766,
42,no_gate,corruption,0.25,0.6875403486120077,0.6617863160772437,1.0,0.8924037218093872,
42,no_gate,corruption,0.5,0.6868947708198838,0.6615697080373071,1.0,0.7961049675941467,
42,no_gate,corruption,0.75,0.6875403486120077,0.6617863160772437,1.0,0.7008822560310364,
42,static_mean,missing,0.0,0.6875403486120077,0.6617863160772437,0.9866580963134766,0.9866580963134766,0.7086386266115924
42,static_mean,missing,0.25,0.6888315041962556,0.6633821578869982,0.7480095028877258,0.7480095028877258,0.3154419331421322
42,static_mean,missing,0.5,0.6894770819883796,0.6660237007794095,0.5085001587867737,0.5085000991821289,0.28474602728512466
