seed,model,stress_type,stress_rate,mean_reliability,std_reliability,mean_r_target,mean_observed_missing,mean_observed_implausibility,corr_reliability_r_target,corr_reliability_missing,corr_reliability_implausibility,mae_reliability_target,f1_macro,accuracy
42,RG-MF,missing,0.0,0.6850737929344177,0.0112169058993458,0.9866580963134766,0.0133419409394264,0.0066709704697132,0.9963572275604056,-0.9963572286486142,-0.9963572286486142,0.3089173138141632,0.6654557589369139,0.6888315041962556
42,RG-MF,missing,0.25,0.6542784571647644,0.033496219664812,0.7480095028877258,0.2519905269145965,0.1259952634572982,0.9323509726266686,-0.9323509747322782,-0.9323509747322782,0.189194917678833,0.6660237007794095,0.6894770819883796
42,RG-MF,missing,0.5,0.6255531907081604,0.0381074286997318,0.5085000991821289,0.4914998710155487,0.2457499355077743,0.9145558796617748,-0.914555881658876,-0.914555881658876,0.2237131148576736,0.6660237007794095,0.6894770819883796
42,RG-MF,missing,0.75,0.5963645577430725,0.032466921955347,0.2539272606372833,0.7460727095603943,0.3730363547801971,0.8916793423513679,-0.8916793430670821,-0.8916793430670821,0.3601845800876617,0.6665898366092735,0.6901226597805036
42,RG-MF,corruption,0.0,0.6850737929344177,0.0112169058993458,0.9866580963134766,0.0133419409394264,0.0066709704697132,0.9963572275604056,-0.9963572286486142,-0.9963572286486142,0.3089173138141632,0.6654557589369139,0.6888315041962556
42,RG-MF,corruption,0.25,0.6771435141563416,0.0228024255484342,0.8924037218093872,0.0094684744253754,0.1028620675206184,0.7383159302694986,-0.3725739074303333,-0.7050124980104053,0.2420644611120224,0.6654557589369139,0.6888315041962556
42,RG-MF,corruption,0.5,0.6689320206642151,0.0275839213281869,0.7961049675941467,0.0064557786099612,0.2006670832633972,0.7000365628128142,-0.2179688935395791,-0.6857744946841953,0.1984389275312423,0.6660237007794095,0.6894770819883796
42,RG-MF,corruption,0.75,0.6604606509208679,0.0290977638214826,0.7008822560310364,0.0036582744214683,0.297288566827774,0.6824176468127949,-0.1390076829711222,-0.6756527374013767,0.1797757595777511,0.6655659110958919,0.6894770819883796
123,RG-MF,missing,0.0,0.6045657992362976,0.0098268166184425,0.9932795763015748,0.0067204302176833,0.0033602151088416,0.9518367844370108,-0.9518367980978548,-0.9518367980978548,0.3907003998756408,0.5781850126986893,0.6209677419354839
123,RG-MF,missing,0.25,0.5721583366394043,0.0403976589441299,0.7408153414726257,0.2591845691204071,0.1295922845602035,0.7570755238962017,-0.7570755270504071,-0.7570755270504071,0.2419748157262802,0.5781850126986893,0.6209677419354839
123,RG-MF,missing,0.5,0.5440079569816589,0.0445170626044273,0.4879032373428345,0.5120967626571655,0.2560483813285827,0.7100315629674815,-0.7100315651282876,-0.7100315651282876,0.2234368324279785,0.5781850126986893,0.6209677419354839
123,RG-MF,missing,0.75,0.5188844203948975,0.0390155315399169,0.2493279576301574,0.7506720423698425,0.3753360211849212,0.7066038323410143,-0.7066038333924907,-0.7066038333924907,0.3153373897075653,0.5781850126986893,0.6209677419354839
123,RG-MF,corruption,0.0,0.6045657992362976,0.0098268166184425,0.9932795763015748,0.0067204302176833,0.0033602151088416,0.9518367844370108,-0.9518367980978548,-0.9518367980978548,0.3907003998756408,0.5781850126986893,0.6209677419354839
123,RG-MF,corruption,0.25,0.5976980924606323,0.0146270263940095,0.8995295763015747,0.0051523298025131,0.0978942662477493,0.9193768223797734,-0.5022143173823083,-0.8714363141538433,0.3125839829444885,0.5781850126986893,0.6209677419354839
123,RG-MF,corruption,0.5,0.5911048054695129,0.0174271930009126,0.8098118305206299,0.0031362008303403,0.1886200904846191,0.9162099351200392,-0.2882231359912481,-0.8988477047937883,0.2558032572269439,0.5781850126986893,0.6209677419354839
123,RG-MF,corruption,0.75,0.5837088227272034,0.0189528577029705,0.7138217687606812,0.0013440860202535,0.2855062484741211,0.883735954539216,-0.2259539348418708,-0.8744474523093512,0.2070122361183166,0.5781850126986893,0.6209677419354839
