model,stress_type,clean_f1_mean,severe_f1_mean,drop_f1_mean,drop_f1_std
Prior Fusion,corruption,0.6112918912437403,0.6110142253905421,-0.0002776658531982908,0.0008430885603562422
Prior Fusion,missing,0.6112918912437403,0.6110646353563483,-0.00022725588739210453,0.0005771967790433907
RG-MF,corruption,0.6352636353239408,0.6352317809802215,-3.1854343719328604e-05,0.00016032488880215903
RG-MF,missing,0.6352636353239408,0.6356416612147274,0.0003780258907865412,0.0006547600494187729
ViT Image-Only,corruption,0.6337339464355174,0.6337339464355174,0.0,0.0
ViT Image-Only,missing,0.6337339464355174,0.6337339464355174,0.0,0.0
