stress_type,stress_rate,mean_reliability,std_reliability_across_seeds,mean_r_target,corr_r_target_mean,corr_missing_mean,corr_implausibility_mean,mae_r_target_mean,f1_macro_mean
corruption,0.0,0.6194565296173096,0.05958414319356934,0.9897451202074686,0.9548579671535298,-0.9548579776473849,-0.9548579776473849,0.37436816096305847,0.6352636353239408
corruption,0.25,0.6124879320462545,0.05867570165954081,0.8968280156453451,0.8584967026764135,-0.3640203079178535,-0.8328868410208847,0.3009189615646998,0.6352636353239408
corruption,0.5,0.6051901380221049,0.057996539391029556,0.8008574446042379,0.8477977693305686,-0.21744010295353844,-0.83756232825694,0.24492031832536054,0.6354529492714394
corruption,0.75,0.5977495511372884,0.05700275931911414,0.7060904701550802,0.8307670496356856,-0.16460500094507893,-0.8248823905716556,0.20614753663539878,0.6352317809802215
missing,0.0,0.6194565296173096,0.05958414319356934,0.9897451202074686,0.9548579671535298,-0.9548579776473849,-0.9548579776473849,0.37436816096305847,0.6352636353239408
missing,0.25,0.5960279901822408,0.05071941244095642,0.7451786796251932,0.7263208728432134,-0.7263208747387043,-0.7263208747387043,0.23322286705176035,0.6354529492714394
missing,0.5,0.5749146540959676,0.044208770660980085,0.49950716892878216,0.6824462494473101,-0.6824462519220549,-0.6824462519220549,0.23011390368143714,0.6354529492714394
missing,0.75,0.5550851623217264,0.038988940250551114,0.25485691428184504,0.6509610530697033,-0.6509610549515089,-0.6509610549515089,0.3375813166300456,0.6356416612147274
